id,"term","category",weight
1,"nhere","13",0.0909090909090909
2,"poses","13",1
3,"contributions","13",1
4,"empire","13",0.0714285714285714
5,"en","13",0.944444444444444
6,"tested negative","13",0.025
7,"accurate information","13",0.111111111111111
8,"impacts","13",0.125560538116592
9,"ancestors","13",0.166666666666667
10,"1/2","13",0.121951219512195
11,"challenge","13",0.476190476190476
12,"#smallbusiness","13",0.0909090909090909
13,"reverse","13",0.5
14,"tha","13",0.1
15,"diabetes","13",0.416666666666667
16,"nnthese","13",0.142857142857143
17,"forced","13",0.493421052631579
18,"utility","13",0.571428571428571
19,"#trumpmeltdown","13",0.0333333333333333
20,"steps","13",0.421428571428571
21,"an unprecedented","13",1
22,"notion","13",0.111111111111111
23,"visualization","13",0.04
24,"disinfectant","13",0.0666666666666667
25,"named","13",0.0169491525423729
26,"importance","13",0.307692307692308
27,"societal","13",0.454545454545455
28,"#wednesdayvibes","13",0.0909090909090909
29,"arizona","13",0.0208333333333333
30,"health care workers","13",0.0661157024793388
31,"releasing","13",0.355555555555556
32,"bishop","13",0.666666666666667
33,"nebraska","13",0.075
34,"overrun","13",0.181818181818182
35,"published","13",0.00847457627118644
36,"illustration","13",0.0833333333333333
37,"describes","13",0.0384615384615385
38,"moral","13",0.863636363636364
39,"immigrant","13",0.733333333333333
40,"supports","13",0.173913043478261
41,"9/11","13",0.0612244897959184
42,"connected","13",0.378787878787879
43,"matters","13",0.741573033707865
44,"island","13",0.0163934426229508
45,"reveal","13",0.04
46,"active","13",0.0961538461538461
47,"5g","13",0.615384615384615
48,"commercial real estate","13",0.8
49,"effects","13",0.325581395348837
50,"local businesses","13",0.424657534246575
51,"sexual","13",0.181818181818182
52,"workers","13",0.12972972972973
53,"thoughts ? san","13",0.981481481481482
54,"chip","13",0.523809523809524
55,"coping","13",0.0555555555555556
56,"grand","13",0.0625
57,"debt","13",0.186440677966102
58,"social-distancing","13",0.833333333333333
59,"alan","13",0.666666666666667
60,"propose","13",0.5
61,"make decisions","13",0.0909090909090909
62,"populations","13",0.619047619047619
63,"tied","13",0.722222222222222
64,"knowledge is power","13",0.222222222222222
65,"hospitals","13",0.0217785843920145
66,"hardships","13",0.4375
67,"ems","13",0.0476190476190476
68,"around the globe","13",0.0476190476190476
69,"inability","13",0.0588235294117647
70,"face","13",0.663019693654267
71,"recipients","13",0.285714285714286
72,"limits","13",0.12962962962963
73,"mitigate","13",0.0106382978723404
74,"loaded","13",0.222222222222222
75,"poverty","13",0.846153846153846
76,"ability","13",0.165289256198347
77,"uninsured","13",0.2
78,"charities","13",0.567567567567568
79,"path","13",1
80,"consumer","13",0.0714285714285714
81,"approves","13",0.0476190476190476
82,"twin","13",0.571428571428571
83,"driving","13",0.0172413793103448
84,"dodge","13",0.0909090909090909
85,"state's","13",0.021978021978022
86,"texas lt .","13",0.357142857142857
87,"industrial","13",0.0833333333333333
88,"of los angeles","13",0.0714285714285714
89,"halting","13",0.157894736842105
90,"side effects","13",0.846153846153846
91,"world war ii","13",0.625
92,"pink","13",0.125
93,"public health","13",0.234920634920635
94,"urgency","13",0.375
95,"globe","13",0.36
96,"compliance","13",0.163265306122449
97,"current","13",0.0299295774647887
98,"consequences","13",0.688888888888889
99,"wondering","13",0.0197044334975369
100,"businesses","13",0.115030674846626
101,"burden","13",0.117647058823529
102,"proposes","13",0.857142857142857
103,"overcome","13",0.125
104,"highly","13",0.166666666666667
105,"reduce","13",0.00473933649289099
106,"the rapidly evolving","13",0.0666666666666667
107,"faces","13",0.39344262295082
108,"survival","13",0.208955223880597
109,"physical","13",0.180327868852459
110,"#potus","13",0.0172413793103448
111,"asian","13",0.02
112,"machines","13",0.375
113,"advocates","13",0.868421052631579
114,"pete","13",0.25
115,"aca","13",0.8
116,"seeking","13",0.263157894736842
117,"outcome","13",0.413793103448276
118,"ingredients","13",0.166666666666667
119,"focusing","13",0.372093023255814
