id,"term","category",weight
1," 1","27",30
2," 1 billion","27",36
3," 1 million","27",48
4," 10 million","27",17
5," 10,000","27",18
6," 100","27",39
7," 100 million","2",3
8," 100 million","27",7
9," 10k","11",2
10," 10k","27",5
11," 1200","26",4
12," 1200","22",5
13," 150","27",10
14," 1500 through","25",19
15," 1b","26",9
16," 1b","27",7
17," 1m","27",10
18," 2 million","27",7
19," 2 trillion","26",33
20," 2.2 trillion","26",12
21," 200","25",9
22," 2000","26",17
23," 25","26",7
24," 25","25",3
25," 250","27",13
26," 300 -","25",22
27," 5 million","27",6
28," 5,000","27",8
29," 50 million","23",16
30," 500","27",18
31," 600","26",4
32," 600","35",1
33," a","13",111
34," amanp ...","18",15
35," assumed","11",62
36," cbc news","17",14
37," cbc news","9",8
38," cbc news","39",7
39," ceo","6",10
40," d","26",14
41," digital certificate","5",13
42," healthy","18",41
43," mn","23",16
44," move","4",197
45," of","8",174
46," outlook","8",15
47," p","1",12
48," retweet","25",50
49," shortness","24",27
50," spy ","32",6
51," spy ","5",7
52," the guardian","31",16
53," the guardian","20",3
54," truck drivers","2",3
55," wbez","3",16
56," would","27",19
57," zero hedge","18",16
58," zero hedge","7",5
59," zero hedge","3",9
60,"# ' s","0",1
61,"# ' s","15",5
62,"# ' s","29",1
63,"# 1","18",24
64,"# 1","3",44
65,"# cases","17",9
66,"# cases","18",3
67,"#2020","33",23
68,"#2020","30",29
69,"#2020census","2",5
70,"#2020census","36",2
71,"#2020census","39",4
72,"#25thamendmentnow","0",16
73,"#25theamendmentnow","7",2
74,"#25theamendmentnow","22",11
75,"#30moredays","30",21
76,"#3dprinting","38",20
77,"#3m","38",7
78,"#45","18",9
79,"#45","30",3
80,"#5g","33",19
81,"#5g","32",57
82,"#6feetapart","33",7
83,"#70days","0",12
84,"#70days","18",4
85,"#70days","30",5
86,"#8nn","23",14
87,"#africa","32",34
88,"#ai","5",10
89,"#ai","9",34
90,"#airlines","2",7
91,"#airlines","33",9
92,"#airpollution","19",2
93,"#airpollution","24",10
94,"#alabama","36",25
95,"#allinthistogether","33",13
96,"#alonetogether","33",23
97,"#alonetogether","30",26
98,"#amazon","2",25
99,"#america","33",24
100,"#america","12",35
101,"#americafirst","0",18
102,"#american","2",21
103,"#americans","31",10
104,"#americans","0",12
105,"#americans","33",6
106,"#americans","32",8
107,"#americaworkstogether","0",7
108,"#americaworkstogether","33",6
109,"#andrewcuomo","33",11
110,"#animalcrossing","20",7
111,"#animalcrossing","30",3
112,"#animals","38",14
113,"#anthonyfauci","0",8
114,"#antibodies","15",12
115,"#anxiety","34",30
116,"#apple","9",12
117,"#april","22",8
118,"#ards","31",11
119,"#arizona","17",10
120,"#arizona","16",14
121,"#arizona","35",13
122,"#arkansas","36",17
123,"#arnews","36",6
124,"#arnews","35",7
125,"#art","33",34
126,"#artificialintelligence","9",15
127,"#artist","23",2
128,"#artist","12",6
129,"#artists","22",5
130,"#artists","30",6
131,"#atl","33",4
132,"#atl","32",5
133,"#atlanta","15",5
134,"#atlanta","23",12
135,"#atlanta","35",4
136,"#atx","37",13
137,"#auspol","26",12
138,"#austin","2",14
139,"#austin","23",3
140,"#australia","10",9
141,"#bailout","26",7
142,"#baltimore","32",2
143,"#baltimore","36",6
144,"#baseball","23",2
145,"#baseball","24",2
146,"#baseball","12",7
147,"#bayarea","33",13
148,"#beer","34",2
149,"#beer","30",9
150,"#beer","12",2
151,"#bekind","33",8
152,"#bernie","20",3
153,"#bernie","17",1
154,"#bernie","6",2
155,"#bernie","32",1
156,"#bernie2020","33",7
157,"#besafe","33",24
158,"#biden","0",18
159,"#biden2020","0",3
160,"#biden2020","33",9
161,"#billgates","33",20
162,"#billgates","5",6
163,"#biotech","19",2
164,"#biotech","5",8
165,"#birthday","30",7
166,"#bitcoin","9",12
167,"#blacktwitter","8",11
168,"#blockchain","9",14
169,"#blog","34",8
170,"#blog","36",2
171,"#blog","39",2
172,"#books","33",6
173,"#books","25",2
174,"#bored","30",20
175,"#borisjohnson","19",16
176,"#borisjohnson","16",19
177,"#borisjohnson","32",10
178,"#boston","33",29
179,"#boston","25",8
180,"#bottomtenstate in response","8",15
181,"#brazil","32",12
182,"#breaking","16",76
183,"#breaking","21",62
184,"#breaking","35",74
185,"#breakingnews","18",6
186,"#breakingnews","16",10
187,"#breakingnews","33",18
188,"#breakingnews","21",9
189,"#breakingnus gov't","0",28
190,"#bronxzoo","16",25
191,"#brooklyn","33",18
192,"#business","34",65
193,"#businesses","34",5
194,"#businesses","27",5
195,"#ca","33",8
196,"#ca","29",3
197,"#cabinfever","12",16
198,"#california","33",73
199,"#california","22",16
200,"#californialockdown","33",15
201,"#canada","10",9
202,"#canada","9",8
203,"#cancer","13",8
204,"#cancer","32",19
205,"#cannabis","10",12
206,"#cannabis","28",10
207,"#captainbrettcrozier","28",7
208,"#captainbrettcrozier","30",3
209,"#caregivers","13",6
210,"#caregivers","34",5
211,"#caresact","26",58
212,"#carolebaskin","16",8
213,"#cats","38",17
214,"#caturday","30",5
215,"#ccp","18",18
216,"#cdc","17",24
217,"#cdc","33",16
218,"#cdc","38",28
